番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
玛纳利亚的密友（Mysteria Friends）/巴哈姆特之怒/玛娜利亚魔法学院,9.8,10468856,837637,128431,10767,校园|魔法|游戏改|日常,1
Fate/kaleid liner 魔法少女☆伊莉雅：雪下的誓言,9.6,4263816,1941419,95597,5700,热血|奇幻|战斗|魔法,1
魔笛MAGI,9.2,13374388,1112859,404020,3687,奇幻|战斗|漫画改|架空,0
狗与剪刀的正确用法,9.1,12412274,817118,416746,4581,搞笑|奇幻,0
来自新世界,9.6,8848039,815001,359216,10041,奇幻|科幻|架空|小说改,0
全职猎人,9.8,29479822,801956,808875,9016,奇幻|热血|智斗|战斗,0
苍之彼方的四重奏,7.7,18400471,793793,473429,1964,奇幻|运动|游戏改,0
境界的彼方 -I'LL BE HERE- 未来篇,9.5,6963238,3591874,359651,6697,日常|奇幻|治愈,1
Taboo Tattoo－禁忌咒纹－,4.2,14027131,775868,304454,1762,奇幻|战斗,1
Fate/stay night UNLIMITED BLADE WORKS,9.3,3087647,5240237,33541,1803,游戏改|热血|奇幻|战斗,1
ULTRAMAN 机动奥特曼,9.5,30939394,1903622,448529,18719,漫画改|奇幻|科幻|战斗,0
魔弹之王与战姬,9,30047260,760013,543088,2587,奇幻|热血|战斗|架空,0
魔王學院的不適任者～史上最強的魔王始祖，轉生就讀子孫們的學校～（僅限台灣地區）,9.4,1783008,742635,55191,8357,小说改|奇幻,0
通灵王,6.7,7678262,742464,50455,2289,漫画改|热血|战斗|奇幻,1
驱魔少年 HALLOW,9.4,11230761,758395,221996,1375,热血|奇幻|战斗,1
龙娘七七七埋藏的宝藏,9,3975501,737890,52552,3315,奇幻|日常|推理,0
永生之酒,9.7,4578964,734393,106004,7614,时泪|奇幻|声控|小说改,0
猎兽神兵,8.2,16596507,730057,175143,7779,漫画改|战斗|声控|奇幻,1
晨曦公主,9.7,27053583,774409,466844,4675,少女|奇幻|架空|冒险,0
怪病医拉姆尼,9.3,10186622,723953,73956,5846,漫画改|奇幻|声控,1
笨蛋，测验，召唤兽2,9.7,12796929,1716621,262676,8996,奇幻|校园|小说改,0
魔法少女☆伊莉雅 3REI!!,9.6,8524327,1941419,167276,3454,奇幻|战斗|魔法|漫画改,0
游戏王 怪兽之决斗,9.8,65443516,717420,863019,11984,热血|战斗|奇幻,0
夏目友人帐,9.8,9284539,5319606,159927,12689,剧情|奇幻|动画,1
皇帝圣印战记,6.5,17219647,668693,324214,14257,小说改|奇幻|战斗|架空,0
来自深渊 深沉灵魂的黎明,9.8,4577342,796976,52044,13608,漫画改|奇幻|冒险|架空,1
传说中勇者的传说,9.4,10660551,655854,192433,4300,奇幻|热血|战斗|架空,0
少女☆歌剧 Revue Starlight,9.8,15039915,650505,277264,26482,音乐|奇幻|战斗|偶像,0
剧场版 K Seven Stories,9.7,9640995,3027214,196580,5663,奇幻|战斗|声控|原创,1
境界的彼方 -I'LL BE HERE- 过去篇,9.5,6222282,3591874,71785,2504,恋爱|奇幻|战斗,1
厨神小当家2,6.3,4013599,693216,24566,1252,漫画改|奇幻|冒险|美食,1
大神与七位伙伴,9.4,3332352,624146,59235,3275,奇幻|热血|社团,0
元气少女缘结神 新婚篇,9.8,8821975,2644339,134856,2879,恋爱|奇幻,0
终物语 下,9.8,4850505,1210339,101585,6568,奇幻|神魔,1
稻荷恋之歌,9.1,9814349,602784,267077,2521,少女|奇幻|恋爱,0
赤发白雪姬 第二季,9.7,15724067,1369625,484903,2929,奇幻|少女|架空,0
超次元游戏 海王星,9.7,4956848,596482,146583,3554,科幻|热血|奇幻|少女,0
思维覆写,9.6,10820426,594918,134876,13214,漫画改|奇幻,1
热诚传说 第二季,8.2,12739284,1494413,242357,1600,游戏改|奇幻|战斗|架空,0
历物语,9.7,8895261,593896,93035,2400,奇幻|校园,0
犬夜叉完结篇,9.8,26761685,2652645,473197,12089,漫画改|热血|奇幻|战斗,0
文豪与炼金术师 ～审判的齿轮～,9,4385511,581764,59779,2776,游戏改|奇幻|架空,1
Code:Realize ～创世的姬君～,9,8822364,581082,96419,1710,恋爱|乙女|游戏改|奇幻,0
失忆症,9.2,7950311,586980,168796,1301,奇幻|乙女,0
鸦KARAS,9.8,4792864,573836,83473,4748,奇幻|战斗,0
翼年代记 第一季,9.6,2485987,636792,25760,1969,热血|架空|穿越|冒险,0
天体的秩序,9.4,9130048,567584,413130,3051,奇幻|日常|治愈|萝莉,0
记录的地平线 第二季,9.5,39091357,1784983,627061,7010,奇幻|智斗|穿越|冒险,0
丹特丽安的书架,9.7,3571694,564545,64978,5383,奇幻|治愈|声控|冒险,0
潘朵拉之心,9.6,6308852,559131,154654,3224,奇幻|神魔|冒险,0
重启咲良田,9.8,5078166,557544,76655,14918,小说改|日常|奇幻|校园,1
約會大作戰 第二季 （僅限港澳台地區）,8.7,1009345,554321,78039,2589,奇幻|战斗,0
无头骑士异闻录×2 转,9.5,13038797,1695015,535344,2080,奇幻|日常|声控|小说改,0
[C]THE MONEY OF SOUL AND POSSIBILITY CONTROL,9.2,4958407,543115,77592,2970,奇幻|战斗|智斗|原创,0
人马少女的烦恼,9.2,9611024,542320,241266,3071,奇幻|日常|漫画改,0
奇诺之旅（2017）,9.8,4578365,604022,50648,5431,奇幻|小说改|架空|冒险,1
恶魔战线,8.2,6872829,541976,85326,2915,恋爱|奇幻|漫画改,1
深夜的超自然公务员,7.6,10771908,527244,74339,3332,漫画改|奇幻|职场|声控,1
不愉快的怪物庵,9.4,6830733,811230,117499,2616,奇幻|日常|治愈,0
八犬传 -东方八犬异闻- 第一季,9.7,6562957,578053,124499,1978,奇幻,0
目隐都市的演绎者,9.6,4222870,522182,69078,6787,奇幻|声控|励志|音乐,0
厨神小当家2（中配）,6.8,1529942,693216,14454,559,漫画改|奇幻|冒险|美食,1
OVERLORD SP,9.4,41122612,8682796,48598,3859,科幻|奇幻|战斗|日常,0
龙之界点,8.1,4368080,516014,131784,1626,奇幻|战斗,0
无头骑士异闻录×2 承,9.5,18142699,1695015,683243,2295,奇幻|日常|声控|小说改,0
